cv0412,cv0415,cv0427,cv0506,cv0516,cv0520,cv0523,cv0527,cv0531,cv0602,cv0614,cv0617,cv0620,cv0623,cv0627,cv0630,cv0708,cv0713,cv0716,cv0719,cv0721,cv0725,cv0728,cv0802,cv0808,cv0812
0.013454,0.0,0.0,0.000864,0.018658,0.049414,0.074544,0.113898,0.191114,0.261449,0.400781,0.520059,0.638893,0.661041,0.726818,0.74961,0.676239,0.607523,0.679966,0.647049,0.654781,0.598587,0.607739,0.529852,0.008196,0.000361
0.015404,0.0,0.0,5.4e-05,0.006547,0.037235,0.077148,0.099237,0.187978,0.240179,0.324278,0.45679,0.544921,0.611299,0.690003,0.712199,0.698923,0.715353,0.735286,0.703195,0.704879,0.650677,0.668715,0.574864,0.199829,0.001834
0.019926,0.0,0.0,0.014723,0.080657,0.140923,0.196486,0.253586,0.35836,0.429064,0.574283,0.727436,0.815826,0.842997,0.903815,0.886428,0.826403,0.801937,0.857873,0.807312,0.813601,0.739369,0.73865,0.644494,0.241088,0.009931
0.019535,0.0,0.0,0.000672,0.014821,0.043271,0.081044,0.09979,0.186685,0.269439,0.294696,0.394282,0.477664,0.514715,0.54492,0.591478,0.53336,0.499204,0.542981,0.476013,0.476298,0.407717,0.446478,0.352247,0.176881,0.004617
0.015717,0.0,0.0,0.012489,0.051164,0.09991,0.166366,0.212675,0.326543,0.381506,0.495955,0.627248,0.708246,0.758201,0.812955,0.776995,0.784505,0.761385,0.803575,0.76708,0.776667,0.724104,0.705867,0.621179,0.138928,0.001234
0.017024,0.0,0.0,0.009581,0.085972,0.170198,0.252426,0.286464,0.405944,0.484629,0.673004,0.791718,0.867692,0.910017,0.962327,0.936543,0.896826,0.823899,0.917815,0.877147,0.889558,0.87481,0.862337,0.800207,0.452143,0.002936
0.014447,0.0,0.0,0.007632,0.066435,0.124284,0.186309,0.245224,0.382267,0.458686,0.658287,0.787879,0.848812,0.897009,0.94771,0.919424,0.86337,0.802708,0.888865,0.840361,0.863065,0.833768,0.833916,0.769133,0.473294,0.000351
0.016153,0.0,2e-06,0.016292,0.110593,0.181103,0.244935,0.309798,0.410462,0.493944,0.677177,0.79697,0.875785,0.890757,0.942858,0.939138,0.887739,0.833299,0.902413,0.844868,0.856321,0.843247,0.826781,0.805372,0.424547,0.001324
0.008213,0.0,0.0,0.000155,0.010445,0.033995,0.05688,0.092078,0.170266,0.229838,0.400994,0.513557,0.6003,0.635032,0.668542,0.683768,0.659655,0.633313,0.662804,0.589419,0.589962,0.510624,0.569491,0.495501,0.249844,0.002917
0.009892,0.0,0.0,0.010286,0.092582,0.159693,0.220863,0.30422,0.454832,0.462544,0.690981,0.838046,0.928895,0.947441,0.995977,0.941646,0.875647,0.794729,0.921289,0.803826,0.791592,0.620088,0.506571,0.46245,0.025645,0.002214
