ch0412,ch0415,ch0427,ch0506,ch0516,ch0520,ch0523,ch0527,ch0531,ch0602,ch0614,ch0617,ch0620,ch0623,ch0627,ch0630,ch0708,ch0713,ch0716,ch0719,ch0721,ch0725,ch0728,ch0802,ch0808,ch0812
0.085199,4e-06,0.014656,0.128636,0.275164,0.346669,0.405004,0.492314,0.562771,0.663845,0.955899,1.026107,1.106663,1.116783,1.152351,1.148907,1.134377,1.127383,1.148619,1.041197,1.125274,1.097731,1.052989,1.181516,0.884353,0.078569
0.090822,0.0,0.015174,0.059058,0.154327,0.22579,0.274073,0.367821,0.463159,0.549747,0.823115,0.938583,1.024489,1.069234,1.135224,1.114764,1.123184,1.142887,1.144894,1.036727,1.118083,1.0962,1.083614,1.168794,0.892571,0.100772
0.093831,0.0,0.021642,0.141502,0.303423,0.378918,0.487106,0.603504,0.700943,0.793094,1.037439,1.125022,1.199684,1.230398,1.26324,1.254114,1.200854,1.247844,1.262627,1.111242,1.216572,1.213823,1.084891,1.118238,0.608214,0.223796
0.083273,0.0,0.01146,0.126427,0.291209,0.376122,0.487853,0.589009,0.682722,0.758574,1.020118,1.096505,1.174257,1.190194,1.243402,1.212465,1.201797,1.29552,1.245611,1.122999,1.237491,1.224848,1.156801,1.231203,0.874922,0.064073
0.08161,0.0,0.014958,0.199654,0.373379,0.484987,0.605705,0.682942,0.78562,0.858654,1.077798,1.158687,1.232104,1.281074,1.321285,1.290938,1.303909,1.322181,1.328043,1.194084,1.290069,1.291556,1.264191,1.350314,0.999675,0.077106
0.07968,0.0,0.008439,0.17283,0.359601,0.455496,0.577744,0.690331,0.776691,0.851334,1.089392,1.174077,1.244474,1.290265,1.337141,1.298063,1.292406,1.328636,1.304476,1.193441,1.270433,1.275808,1.259398,1.351493,1.019715,0.073954
0.074777,0.0,0.010763,0.192823,0.367547,0.46816,0.575362,0.672377,0.753547,0.829356,1.093222,1.171505,1.236909,1.270382,1.297654,1.244129,1.238035,1.255793,1.262374,1.159845,1.228457,1.259683,1.177202,1.277025,1.019498,0.021275
0.071002,0.0,0.001057,0.173788,0.353444,0.45602,0.569754,0.65333,0.716042,0.78457,1.059504,1.139081,1.210338,1.257162,1.278111,1.235387,1.280993,1.293743,1.268555,1.168745,1.234468,1.230001,1.145105,1.291741,0.759092,0.10591
0.062547,0.0,0.001162,0.102512,0.247096,0.324442,0.423446,0.463864,0.524836,0.638242,0.939644,1.016551,1.08971,1.106318,1.183479,1.141506,1.130901,1.147841,1.132322,1.033748,1.119011,1.089453,0.887027,1.063363,0.444052,0.250387
0.058872,0.0,0.0,0.047089,0.143872,0.221814,0.277168,0.399001,0.473039,0.568015,0.850936,0.951353,1.044533,1.066467,1.147266,1.112332,1.113968,1.143084,1.12387,1.00778,1.106107,1.085528,0.99172,1.131685,0.625245,0.222384
0.058195,0.0,1.8e-05,0.040212,0.178443,0.262246,0.353689,0.449684,0.535469,0.626086,0.852201,0.941659,1.007013,1.047683,1.110759,1.074335,1.064785,1.100212,1.100805,0.994158,1.065606,1.059011,1.044953,1.089156,0.874885,0.127963
0.055056,0.0,0.0,0.074934,0.226147,0.303658,0.415411,0.503528,0.591173,0.684211,0.920415,1.024452,1.108841,1.145598,1.212061,1.184606,1.155996,1.226925,1.201194,1.090561,1.167088,1.150689,1.102488,1.182329,0.971594,0.136324
0.051639,0.0,0.0,0.00432,0.076251,0.175312,0.265211,0.318452,0.415036,0.507333,0.773341,0.870155,0.945177,1.002258,1.070695,1.065506,1.114592,1.147116,1.193044,1.077483,1.16951,1.144544,1.100377,1.106041,1.035446,0.069801
0.047655,0.0,0.000426,0.149244,0.344515,0.430709,0.555037,0.669435,0.743462,0.818063,1.103456,1.202039,1.269661,1.322096,1.36301,1.31188,1.26808,1.318335,1.300857,1.199593,1.279001,1.274751,1.264375,1.320035,0.928902,0.088837
0.047705,0.0,0.000236,0.125886,0.294593,0.404833,0.521256,0.641664,0.687841,0.743024,0.994065,1.086154,1.154399,1.187281,1.242751,1.210563,1.223879,1.249255,1.263003,1.133167,1.219494,1.220021,1.190148,1.258786,0.977961,0.03833
0.046015,0.0,0.0,0.131745,0.305045,0.410844,0.530205,0.620292,0.675801,0.73137,1.00394,1.095385,1.162578,1.201537,1.255487,1.234512,1.242122,1.264482,1.250863,1.142068,1.217583,1.225776,1.190787,1.241686,0.992099,0.023431
0.040566,0.0,0.000157,0.087098,0.246706,0.335934,0.419724,0.527233,0.574119,0.654226,0.952146,1.048161,1.128056,1.160054,1.220757,1.190223,1.152762,1.19299,1.167845,1.055256,1.149776,1.144128,1.132401,1.134505,0.885264,0.069773
0.04071,0.0,0.0,0.004015,0.070751,0.147958,0.185792,0.29101,0.371851,0.467443,0.754576,0.865526,0.971014,0.99118,1.069446,1.062529,1.080137,1.140713,1.107737,1.028328,1.100797,1.061925,1.027568,1.092129,0.935727,0.188286
0.057304,0.0,0.000436,0.134679,0.323721,0.418862,0.544009,0.615981,0.715888,0.788136,1.069241,1.175055,1.256908,1.330681,1.361723,1.301202,1.282204,1.345895,1.277907,1.196096,1.264271,1.275498,1.226441,1.320393,0.799542,0.109064
0.049987,0.0,0.0,0.141286,0.310878,0.412879,0.528994,0.601017,0.671859,0.739622,1.023437,1.116097,1.187664,1.239342,1.262517,1.21824,1.222141,1.290735,1.210597,1.124599,1.200824,1.209801,1.169692,1.251203,0.841956,0.082196
0.04488,0.0,0.0,0.117347,0.280734,0.361814,0.491404,0.563451,0.636362,0.706286,0.9869,1.096275,1.174336,1.215204,1.273271,1.222568,1.231766,1.336325,1.227358,1.122523,1.201828,1.206843,1.17214,1.272464,0.746665,0.066299
0.04741,0.0,0.0,0.136868,0.32422,0.411109,0.523609,0.610451,0.699217,0.771131,1.044155,1.156932,1.224936,1.259286,1.304364,1.242976,1.235259,1.335663,1.268481,1.171781,1.253915,1.254355,1.186179,1.292581,0.657903,0.025353
0.041466,0.0,0.0,0.118627,0.265186,0.347646,0.469374,0.551569,0.631652,0.688131,0.964048,1.066871,1.152531,1.195405,1.261807,1.197609,1.18567,1.232195,1.253783,1.109883,1.216846,1.245446,1.166056,1.20348,0.5786,0.061067
0.034394,0.0,0.0,0.089753,0.219947,0.312019,0.408492,0.49224,0.576191,0.643376,0.947742,1.057686,1.149857,1.181303,1.247343,1.205632,1.179985,1.180163,1.187107,1.048117,1.147385,1.185177,1.120513,1.110838,0.369571,0.126307
0.035789,0.0,0.0,0.072984,0.211734,0.286391,0.371856,0.431777,0.514328,0.581762,0.863449,0.952371,1.025391,1.052272,1.116579,1.077872,1.069174,1.085509,1.085068,0.974561,1.051499,1.060373,1.029631,1.092657,0.100312,0.098063
0.033536,0.0,0.0,0.032316,0.149151,0.224502,0.305001,0.365589,0.474465,0.545308,0.830939,0.937748,1.055162,1.08225,1.145436,1.131136,1.064876,1.083839,1.131967,1.025977,1.114673,1.073767,1.043373,1.068964,0.136602,0.051316
0.03774,0.0,0.0,0.007824,0.082204,0.179985,0.269148,0.326898,0.41248,0.484388,0.73676,0.864306,0.983944,1.044574,1.138768,1.144525,1.101853,1.146639,1.136192,1.018212,1.125008,1.118489,1.102077,1.163592,0.822088,0.14055
0.046251,0.0,0.000168,0.13878,0.318229,0.411387,0.538425,0.608117,0.695099,0.753489,1.004884,1.121206,1.200754,1.233287,1.303251,1.247302,1.228987,1.31813,1.232932,1.114884,1.223909,1.216332,1.180262,1.21724,0.794734,0.430835
0.04301,0.0,0.0,0.028608,0.137443,0.212124,0.307812,0.385226,0.479562,0.562611,0.765805,0.841162,0.957038,0.988639,1.070273,1.06382,1.049586,1.089957,1.03903,0.927329,1.015468,0.992619,0.958979,0.998366,0.830794,0.284114
0.04322,0.0,0.0,0.134567,0.255466,0.316084,0.440758,0.49911,0.602377,0.654605,0.884584,1.017065,1.101761,1.161184,1.236526,1.21034,1.237639,1.277822,1.230438,1.11744,1.204367,1.185835,1.166086,1.262295,0.755211,0.127559
0.044048,0.0,0.000158,0.121797,0.309136,0.401125,0.524303,0.594565,0.690476,0.732652,1.010211,1.120503,1.205273,1.255525,1.310508,1.262492,1.256248,1.312246,1.269583,1.160172,1.238161,1.234092,1.208159,1.270214,0.86268,0.040753
0.042215,0.0,0.0,0.090828,0.263069,0.355993,0.475308,0.529041,0.63676,0.687906,0.960126,1.093198,1.180235,1.240644,1.305931,1.250617,1.228136,1.249559,1.256304,1.121208,1.219131,1.231546,1.221658,1.260121,0.775643,0.070594
0.047095,0.0,0.000801,0.147107,0.34584,0.447071,0.562475,0.614265,0.702697,0.747401,0.958254,1.071979,1.138104,1.182813,1.235202,1.193485,1.165701,1.241958,1.188336,1.090323,1.159187,1.15442,1.16239,1.209241,0.758202,0.169937
