ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818
-0.01045,-0.004139,-0.005934,-0.000448,0.04441,0.137829,0.171433,0.262223,0.197647,0.242367,0.480743,0.490313,0.51675,0.482252,0.481558,0.450518,0.455046,0.406835,0.362118,0.204533,0.287447,0.22331,0.212906,0.106596,0.052032,-0.04236,-0.052404
-0.012491,-0.00414,-0.003541,0.001524,0.040306,0.148605,0.185841,0.300451,0.211435,0.275418,0.497463,0.467834,0.487955,0.44996,0.479947,0.4455,0.451762,0.378302,0.334418,0.170825,0.256645,0.184655,0.180856,0.084102,0.033507,-0.045453,-0.043074
-0.014369,-0.005913,-0.002996,0.001741,0.058466,0.150267,0.191288,0.302791,0.234202,0.284579,0.494961,0.451377,0.487389,0.451991,0.456649,0.429492,0.429505,0.328942,0.264697,0.120805,0.204837,0.138593,0.154191,0.052347,0.022814,-0.049911,-0.031117
-0.012737,-0.005243,-0.00778,-0.00264,0.046234,0.074481,0.113854,0.22996,0.169769,0.250241,0.435785,0.239555,0.266505,0.230302,0.268294,0.235426,0.235205,0.227056,0.160128,0.045959,0.130484,0.077348,0.091466,0.024409,-0.002923,-0.047189,-0.030697
-0.015266,-0.005354,-0.010246,-0.004815,0.042376,0.127069,0.169457,0.231187,0.223676,0.258551,0.439823,0.510158,0.54213,0.547456,0.516537,0.495566,0.40076,0.388073,0.426329,0.360306,0.390654,0.334679,0.315267,0.194367,0.091578,-0.046742,-0.043959
-0.016644,-0.007864,-0.013118,-0.004963,0.034298,0.113915,0.15798,0.22169,0.195823,0.223957,0.431023,0.489382,0.501104,0.526135,0.514072,0.502805,0.406197,0.402923,0.390092,0.37279,0.369575,0.306859,0.306094,0.174223,0.063442,-0.058102,-0.046663
-0.016922,-0.003925,-0.011224,-0.000516,0.056597,0.150145,0.183863,0.263841,0.237224,0.254397,0.487158,0.502388,0.516215,0.550576,0.510265,0.514457,0.426034,0.433868,0.421283,0.430737,0.412987,0.38257,0.371625,0.220864,0.097441,-0.064322,-0.051212
-0.016591,-0.002709,-0.013913,-0.00055,0.056075,0.159962,0.18539,0.268334,0.247713,0.269408,0.445731,0.519165,0.502369,0.547916,0.505485,0.510429,0.438395,0.418609,0.423497,0.419511,0.398044,0.37858,0.362111,0.206515,0.090537,-0.054967,-0.042659
-0.015488,0.00093,-0.009765,-0.000968,0.052949,0.1559,0.180922,0.250775,0.2339,0.250342,0.409095,0.506022,0.497499,0.549086,0.512501,0.473388,0.430802,0.380976,0.427097,0.408831,0.416774,0.439017,0.382543,0.240837,0.150307,-0.039919,-0.042169
-0.014949,-0.001302,-0.010484,-0.00071,0.052088,0.142919,0.162749,0.221045,0.209164,0.229001,0.41817,0.505087,0.49402,0.527118,0.501674,0.475971,0.433107,0.38741,0.415367,0.395971,0.399449,0.401248,0.343925,0.228419,0.139312,-0.036297,-0.035396
